AuthorName,ReviewBody,RatingValue,RatingMax,ReviewTitle,DatePublished,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Departure,Arrival
G Reyes,"✅Trip Verified|  Very inconsiderate PA announcements were made by a purser who appearingly decided to exchange his career at BA for comedy club acting, although not at the right setting. First pre-landing PA: “My colleague and I had a very long week with British Airways, so we are dimming the lights as we don’t want you to see our faces. If you are afraid of the dark - just look at the passenger next to you”. Although clearly not the purser’s intent, it sounded like a mocking and very careless of people with aero / darkness phobias who may have a panic attack after such a joke. Very inconsiderate and damages BA’s brand as a safe, accessible and a trusted airline. Second PA after landing was: “if you’d like to make a complaint, go call EasyJet”. I felt genuinely insulted by this “joke”. BA charged an abusive fee. In the end, I literally had to beg the rude and dismissive ground staff in Madrid not to check my roller bag at gate because I recently had surgery and needed to hold onto it to walk. Instant noodles which I purchased onboard were barely edible. All cabin crew except from one disappeared at the galley where they were loudly chatting and laughing and looked at me as a nuisance even when I just wanted to pass through them to visit the lavatory. And then the chief purser effectively announces that if anyone is unhappy they can go fly someone else. Wake up, BA! You are already worse than EasyJet and Ryanair in terms of value for money!! I note that only ones who found the purser’s jokes funny were the other cabin crew who made a few vulgar laughs, while passengers remained dead silent. I can understand airlines scaling back services to cut costs. I will never understand how you can allow your staff to openly mock and insult your passengers. I am a BA Silver member and have been a loyal BA customer for years. A disgrace.",1.0,10.0,"""mock and insult your passengers""",2024-04-25,A320,Business,Economy Class,Madrid to London Heathrow,2024-04,no,Madrid , London Heathrow
David Wright,"✅Trip Verified|  Absolutely terrible, lost my luggage on both flights, delivered 3 days later smashed to pieces. A lete departure caused me to miss the connecting flight, yielding a 7 hour delay. the aircraft was oversubscribed, dirty, with an unpleasant persistent odour. Food was genuinely horrible, I'm ex forces, I'll eat almost anything usually!",1.0,10.0,"""lost my luggage on both flights""",2024-04-22,A350,Solo Leisure,Economy Class,Austin to London Heathrow,2024-04,no,Austin , London Heathrow
Eelco van den Heuvel,"✅Trip Verified|  We chose Rotterdam and London City airport because of convenience, both small and having a hotel in the Docklands meant a short distance from City Airport. Three hours before our departure our flight was canceled however. Disappointing, but we made a swift move to Amsterdam Schiphol Airport, but unfortunately we were offered a flight to Heathrow, which meant almost 1,5 hours by tube to our hotel. Flight back operated out of LCY to RTM, but had a 30 mins delay, so in terms of punctuality BA is not very reliant. The flights were okay, with a snack and a drink. The E190 being far more comfortable with 2-2 seating and more legroom than the A319. Our extra expenses for the cancelled flight were handled promptly and we got all the money for extra transport and food back, so BA did a good job in this respect. But hesitant to book again, though they are the only airline flying between RTM and LCY.",6.0,10.0,"""The flights were okay""",2024-04-12,A319 / E190,Couple Leisure,Economy Class,Rotterdam to London City,2024-03,no,Rotterdam , London City
Enrica H Price,"Not Verified| I wanted to write this review so I could give a huge thank you to one of the staff on Lisbon named Jay Ramphul. She went above and beyond and really helped me in an urgent situation. I had boarded my flight with 20 minutes before take off when I realized I had left my cell phone in the club lounge. I was not going to get permission to deboard and get back on in time for take off. Jay stepped in and made it happened. She literally ran with me a far distance to retrieve my phone with me and get me back on the plane within minutes of take off. This is true service! I don't know if this review will ever get back to her or her management, but I hope it does. I want to again express my gratitude for her help and kindness in this matter.",10.0,10.0,“This is true service”,2024-04-07,A340,Business,Business Class,Lisbon to San Diego,2024-03,yes,Lisbon , San Diego
Mike Flynn,"✅Trip Verified|  Check in fast and friendly. Security a breeze. Lounge was busy early evening but comfortable and clean. Flight attendants welcoming. Seat a nightmare it was the reverse/forward with a step over from the window seat, who the hell thought that was a good idea?? Meal were OK but all curry based, like curry and I was on a flight to India so. FA was brilliant as the only flyer awake on an overnight flight. Improving since my last BA flight",7.0,10.0,"""Flight attendants welcoming""",2024-04-03,Boeing 787,Business,Business Class,London Heathrow to Mumbai,2024-03,yes,London Heathrow , Mumbai
E Dodson,"✅Trip Verified|  This is the first time I have seen the new Club World suite. The seat was comfortable but unlike other airlines, BA has crammed as many seats in business class as is humanly possible so the cabin felt cramped. The crew behaved as though we, the passengers, should have been grateful for them turning up for their shift. They looked scruffy in the new uniforms, clearly the dress code policy has been scrapped. I appreciate that appearance is no measure of service quality (in the UK alone) but the service was appalling. The menu lacked choice and the food was presented as if it fell to the floor and was scooped back onto the plate. The bedding was atrocious, an old scraggly blanket and I’ll fitting seat cover. I was cold and asked for an extra blanket which never arrived. There were no drinks coasters (obviously cutbacks) so my drinks kept spilling. I decided to clean up myself as the crew couldn’t be bothered and didn’t pick up on the fact I was using bathroom hand towels to act as drinks coasters to mop up the mess. The aircraft was old (although retrofitted) and had a leak by the galley wall with lots of blue roll in situ to mop up the mess. Not at all a premium service, this felt more like a low cost carrier doing “business”.",3.0,10.0,"""the service was appalling""",2024-04-02,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,2024-03,no,Doha , London Heathrow
David Williams,"✅Trip Verified|  Flew business class from Doha to London on 31st March. The service was slow and unfriendly, even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where I was in to smile. I ordered waffles for breakfast and they looked like they’d fallen off the plate and had been thrown back on (see photo). The plate that the waffles were served on was so hot that when I moved the plate I burnt my finger. I wasn’t warned that it was ferociously hot. I was shocked at how bad the food presentation was, but didn’t feel comfortable saying anything to the cabin crew as she wasn’t approachable or friendly. For lunch, the bread roll was so dry and rock hard that I couldn’t cut through the ends. Not sure why the food and service was so bad on this flight as generally BA food is good and is well presented. Also, the Wi-Fi wasn’t working on the flight.",4.0,10.0,"""service was slow and unfriendly""",2024-04-02,Boeing 777-200,Couple Leisure,Business Class,Doha to London Heathrow,2024-03,no,Doha , London Heathrow
C Down,"✅Trip Verified|  Starting off at Heathrow Terminal 3. Check in was fairly easy, but fast track security was terrible. The area is currently under refurbishment but there are only two scanning machines in the fast track area and at this time only one was in use so the queue was long and very slow moving. I’ve heard mixed things about the BA club lounge, but I was fairly impressed. Food options were fairly varied and tasted really nice. Nice salads as well as pie and veg. Drinks as always in BA lounges are very easy to lay your hands on and cater for most wants. Lounge was a decent size with various seating options and wasn’t very busy at the time I went (Sunday evening). Boarding was well organised and club passengers / higher tiers was boarded quickly and easily. Amenity kit, bottle of water and bedding were waiting at the seat. Welcome drinks were provided fairly quickly after sitting down. Hot towel provided after take off, shortly followed by drink and nuts. As has been regularly said these nuts would be infinitely better if served properly not in a very small packet. Food service on board consisted of a main dinner service which was served 1-2 hrs after take off, then a breakfast meal before landing. Both meals were genuinely delicious. All meats were tender and juicy and very was perfectly cooked. Drinks were provided whenever asked, although crew were too busy serving all passengers to proactively offer top ups. Breakfast was offered to passengers as they woke up, which meant that people ate when they wanted rather than just in order.. almost but not quite like a la carte dining. Crew were friendly and efficient, with some nice personality coming through. This is fairly standard of my experience with BA. In flight entertainment was excellent. Good screen quality. Responsive touch screen. Excellent selection. I did not use the WiFi however it was available on this aircraft and prices are reasonable I think. The seat is generally very comfortable and the storage compartments are convenient and spacious enough. The crew on my aisle side of the plane forgot to unlock all the doors so people had to work out how to do it themselves or periodically request the crew to do it for them. Whilst you can never complain about a fully flat bed, the reverse herringbone layout does make the footwell a bit cramped and also means it’s a lot more comfortable to lie on one side rather than the other (facing away from the door). I did manage a few hours of sleep though so not too bad. Overall a really lovely flight and absolutely holding its own as a decent business class product/service.",8.0,10.0,"""a really lovely flight""",2024-03-28,A350,Solo Leisure,Business Class,London Heathrow to São Paulo,2024-03,yes,London Heathrow , São Paulo
Troy Robinson,"✅Trip Verified| A last minute business trip to HND, a route I regularly fly. Overall a good experience. In the new club world offering which personally I like and find to have plenty of room although some say it is a little tight. I arrived LHR in plenty of time and used the first class wing as I am eligible due to exec club status. Great to see the security lane reopen and efficient due to the new ""no need to empty your bag"" scanners. Additionally the first class lounge was not as busy as usual so a nice experience. Boarding was from gate A10 by bus, probably the least enjoyable part of the journey. It's not uncommon for this flight to use A10 which baffles me as such a large number of passengers need to take the not so scenic journey past all the A gates, B gates and finally C gates before arriving at the aircraft. Even passing a few empty airbridge gates on route. Boarding was not well organised with no real announcements. They started checking in peoples bags and pre-boarding with no announcement which then confused people who thought it was general boarding and started moving forward. Group 1 was then opened before I got to the front on the queue Group 2 & 3 began boarding from a separate line and there were too many people waiting to board the buss so not enough room. Once onboard the aircraft was clean and I like the IFE offering in the new club world. Unfortunately I didn't find the crew particularly welcoming or engaging. I know its a lot of passengers and a long flight but there was not much smiling or customer service. At one point I had to walk through the galley to the toilet, on return 3 crew members were talking, one in particular was blocking my way and after looking at me proceeded to continue and didn't offer to et me past, eventually the inflight manager moved him to one side so I can pass. On another occasion I went to request a drink and was effectively scowled at in a look that felt like ""what do you want and why are you disturbing me"". Other than those points a generally good flight and on time arrival to HND.",8.0,10.0,“didn't find the crew particularly welcoming”,2024-03-26,Boeing 777,Business,Business Class,London to Tokyo,2024-03,yes,London , Tokyo
R Norton,"✅Trip Verified|   Overall I would say disappointing. Due to BA status I had lounge access, on the small side and very busy. The aircraft used a remote gate, boarding was not well organised by group status as it should be but I did manage to make my way onto the first bus of 3. On arrival at the aircraft the plane was still being prepared so we had to wait on the bus. After 10 minutes or so everyone was becoming a little irritable. As it turns out the inbound flight had a number of complex wheelchair passengers that needed assistance which was delayed and took a long amount of time when it did arrive. After 35 minutes waiting on the bus we finally boarded the aircraft. The Captain apologised for the delay, no mention from the crew. Seat was standard Euro Traveller, the service was okay but the crew were not particularly engaging. When I tried to order a coffee due to the seatbelt sign being on as a result of some minor turbulence I was told it wouldn't be possible. As the crew member reached two rows behind be the seatbelt sign was turned off but they didn't come back to ask if I would still like a coffee. Overall we arrived into LHR 1 hour late. No tug to move the aircraft in Lisbon and had to wait for the gate in LHR. Disappointing but not the worst flight I have had.",5.0,10.0,"""I would say disappointing""",2024-03-26,A320,Business,Economy Class,Lisbon to London,2024-03,yes,Lisbon , London
Paul Lee,"Not Verified|  LHR to Delhi in Business. Exceptional flight. Stylish and quirky B Gates lounge with interesting, modern and eclectic food plus Whispering Angel bar. Food on board was delicious and well presented. Friendly, fun, relaxed crew with a blend of deference, self-deprecation and over familiarity. Been flying BA for 35 years in various classes, and this was probably the best. Great job BA!",10.0,10.0,"""Exceptional flight""",2024-03-25,Boeing 777,Couple Leisure,Business Class,London to Delhi,2024-02,yes,London , Delhi
Paul Lee,"Not Verified|  Efficient and Smooth flight from start to finish. Cabin crew attentive and bubbly. Very clean aircraft. Mcvities snacks a nice touch, and even the coffee in a bag was unexpectedly nice. Everything to praise, and nothing to complain about!",9.0,10.0,"""Cabin crew attentive and bubbly""",2024-03-25,A320,Couple Leisure,Economy Class,London to Milan,2024-03,yes,London , Milan
Michael Powell,"Not Verified|  The flight was comfortable enough but with an hour delay on the return leg. However, on both leg I was told I had to put my very small and expensive cabin case into the hold as the flight was full. Having done so I was not amused to see other passengers bringing much larger cases into the cabin. BA should stick to their cabin bag size limit and not inconvenience those who comply.",8.0,10.0,"""stick to their cabin bag size limit""",2024-03-21,A320,Solo Leisure,Economy Class,London Heathrow to Toulouse,2024-03,yes,London Heathrow , Toulouse
N Wardan,"✅Trip Verified|  We had a really good flying experience with BA, travelling as a young family of 4. The flights left on time and we even arrived early for nearly each one of our flights. Food was generous and quite tasty for Economy class with the crew coming around with water/drinks throughout the flights. Our checked luggage also arrived safely and undamaged both at VCE and our return flight to YUL. On all of our flights the crew were attentive, friendly, and helpful with us and our children, especially the gentlemen who served us on the return flights from VCE to YUL on March 5th. The B787-8 interior is really dated and really needs to be updated to compete with their European counterparts. There were panels squeaking loudly when we hit turbulence, seat covers coming off the seats, and tray tables which were not level and loose for eating. The IFE on the B787-8 worked fine, but it definitely wasn't as responsive and did not have a newer, larger screen like the ones on the B777-200. Thankfully, the B777-200 have had their interior updated but the one we flew on had a clogged sink in one of the lavatories, which created problems for passengers. Unfortunately, on nearly all of our flights, there was garbage left in the seat pockets and the floors weren't quite as clean. On the incoming flight to LHR, the B787-8 was not assigned a gate because we arrived early into the airport, which resulted in significant delays for the airport buses to get to the plane and also slowed down the deplaning process. We would definitely consider flying trans-Atlantic with BA again, as we received value and service for the fare we paid.",8.0,10.0,"""crew were attentive, friendly""",2024-03-21,Boeing 787-8 /777-200 / A320-200,Family Leisure,Economy Class,Montreal to Venice via London Heathrow,2024-03,yes,Montreal , Venice via London Heathrow
Solomon Pachtinger,"✅Trip Verified|  Waited an hour to check-in at the Paphos business check-in. Staff utterly incompetent. Flight crew in business class removed my ruck sack from the flight bins without my consent to make way for another customer luggage. I was then coerced to have my luggage at my feet throughout my flight. Utterly outrageous, last thing you would expect in BA business class.",3.0,10.0,"""Utterly outrageous""",2024-03-19,A321,Business,Business Class,Paphos to London,2024-03,no,Paphos , London
Paul Roberts,"Not Verified|   Not a great experience at all, from the outset it was poorly managed as they bused us out to a parking slot only to have us wait for 15 minutes in the bus as the plane was ready. BA business class is not Business class. Tired, small and generally not worth the ticket price. Tables that don’t sit straight, arm rests that aren’t secure and terrible screens. It’s not a patch on first class airlines which is apparently where BA think they should be. They have a long way to go.",3.0,10.0,"""They have a long way to go""",2024-03-19,Boeing 777-300,Business,Business Class,London to Houston,2024-03,no,London , Houston
E Carmere,"✅Trip Verified|  Boarding was difficult caused by vast majority of the passengers carrying too much hand luggage. FA's were friendly. The seats on BA for European flights are extremely narrow. There was a choice of breakfast and very surprising the Champagne Castelau on European flights is of a better quality as the brand used in club on intercontinental flight. Nothing wrong with this flight, however not pleasant due to the unpleasant seats. Waiting time at Brussels for luggage some 20 minutes what is very acceptable.",7.0,10.0,"""FA's were friendly""",2024-03-14,A320,Solo Leisure,Business Class,London Heathrow to Brussels,2024-03,yes,London Heathrow , Brussels
E Carmere,"✅Trip Verified|  Boarding started with a delay of some 20 minutes , everybody could see members of the team only did arrive 5 en 3 minutes before the announced boarding time. We had to wait outside for nearly 15 minutes . It was hot ! Unfortunately flying from Barbados to London in Club Class was an underwhelming experience. BA is not performing a great performance on international flights anymore. Lucky the 777 had the new configuration. As welcome aboard Champagne or fruit juice, the glasses were filled at the level of one inch. A far cheaper brand of Champagne Heidsieck Monopole and no more rosé Champagne available. Wines also poor, there was no French wine. Cognac is also not available anymore. My meal was sub par : the steak was replaced by beef stew. and the FA made it very clear : dessert or cheese. not both. After some 4 hours flight there was no more ice available. Minimal information from the flight deck. breakfast not suitable at all for a business class. Some of the FA were friendly, others not at all. Far from pleasant experience despite the high fares !",3.0,10.0,"""Far from pleasant experience""",2024-03-14,Boeing 777,Solo Leisure,Business Class,Barbados to London heathrow,2024-03,no,Barbados , London heathrow
Frank Fehle,"✅Trip Verified|  BA First, it's not even the best business class in the sky. Cabin very long in the tooth. Service extremely inattentive and lackadaisical. Been waiting over an hour to be offered after dinner drinks or dessert. Nothing. Just awful value for money.",1.0,10.0,"""Service extremely inattentive""",2024-03-10,Boeing 777-300ER,Solo Leisure,First Class,Los Angeles to London,2024-03,no,Los Angeles , London
I Carsen,"✅Trip Verified|  The worst business class experience. Ground crew in Singapore were friendly I ended up switching lounges from BA to QF. The aircraft was late 1 hour. The cabin crew in business class were some of the most unfriendliest crew I have experienced. No one smiled not welcomed on board. No body was checking though out the flight if i wanted anything. I found my seat sat down and waited for someone to offer me a refreshment. Nobody came. A stewardess approached a passenger sitting infront of me if he'd been offer a refreshment he said no, i looked at her and made eye contact. she looked at me and walked straight past. Observing some of the other passenger the crew did not assist any of the ladies struggling to put their carry on luggage in the overhead. During the entire flight all the staff felt like they hated being on the flight and did not want to work. When disembarking walked past 4 crew not one was saying goodbye and thank you to any passengers. The food I had was average, I had a cocktail it was OK. The wine selection was below average.",3.0,10.0,"""worst business class experience""",2024-03-05,Boeing 777-300,Business,Business Class,Singapore to Sydney,2024-03,no,Singapore , Sydney
E Gayerlo,"✅Trip Verified|  On the my trip to Mexico City, I had the opportunity to experience BA long-haul business class for the first time and it was extremely underwhelming. First of all, boarding to our flight to Mexico city was done with buses. Every inch of the bus was filled with passengers and we couldn't even breath. The Club World experience is not personalised and it doesn't make you feel special. The flight crew were giving the welcome drinks as if giving free food at a food bank and I wasn't offered a non-alcoholic choice due to sitting on the last row of business class cabin. The same rude serving attitude happened when the flight attendant was serving ice-cream mid-flight on the way out. He literally threw the ice cream to my head as I was in the middle seat that is covered from all sides that makes flight attendants hard to reach.  The most striking issue with the cabin is the state that the seats are in. They were their old style yin-yang seats and they looked pretty old, with no storage space, and most functionalities are working with a struggle. My entertainment screen was not working well and it was quite unstable. When the flight attendants were playing the security on my way out, neither of the seats in my area playing the safety video and the flight attendants had to re-demonstrate the security instructions manually. On the way in, the crew opened my screen for security demonstration but it kept closing in. When I asked if there is a way to keep the screen open, the flight attendant joked saying ""I will tell the pilot to fly with an angle so that the screen is pulled down and it will stay open"".  I found this attitude unacceptable. The screens were old and bad quality.  I was quite underwhelmed by the food provided on board. They looked great on menu card but were quite bad when they are served.I would not recommend BA business class product based on this experience.",3.0,10.0,"""it was extremely underwhelming""",2024-03-04,Boeing 787,Couple Leisure,Business Class,London Heathrow to Mexico City,2024-03,no,London Heathrow , Mexico City
T Collins,"✅Trip Verified|I upgraded at check in to Club Europe seat 1D and had an excellent experience with BA. The check-in at the airport was very quick and smooth, with friendly staff. Once through the fast track I headed for the Galleries lounge at LHR T3 and this exceeded my expectations. The food was really good and I had a superb view out over the runway. The flight was great. Some people have remarked that legroom isn’t good even in Club Europe but I found it fine for a 2 hour flight. ‘Afternoon tea’ was delicious. Cabin crew were excellent. I was out the airport in about 10 minutes from landing. BA did a superb job on this flight.",10.0,10.0,"""an excellent experience""",2024-03-02,A319,Solo Leisure,Business Class,Heathrow to Oslo,2024-02,yes,Heathrow , Oslo
